spp	tribe
Altcal	Lamprologini
Altcom	Lamprologini
Altshe	Lamprologini
Asplep	Ectodini
Astbur	Haplochromini
Auldew	Ectodini
Baicen	Limnochromini
Batfas	Bathybatini
Batvit	Bathybatini
Benhor	Benthochromini
Bentri	Benthochromini
Boumic	Boulengerochromini
Calmac	Ectodini
Calmel	Ectodini
Calple	Ectodini
Carsch	Ectodini
Chabri	Lamprologini
Chando	Lamprologini
Cphfro	Cyphotilapiini
Cphgib	Cyphotilapiini
Cteben	Cyphotilapiini
Ctehor	Tropheini
Cunlon	Ectodini
Cyafoa	Ectodini
Cyafur	Ectodini
Cypcol	Cyprichromini
Cyplep	Cyprichromini
Cypmic	Cyprichromini
Cyppav	Cyprichromini
Cypzon	Cyprichromini
Ectdes	Ectodini
Enamel	Ectodini
Erecya	Eretmodini
Eremar	Eretmodini
Gnaper	Limnochromini
Gnapfe	Tropheini
Gralem	Ectodini
Gwcbel	Limnochromini
Gwcchr	Limnochromini
Hapmic	Perissodini
Intloo	Tropheini
Juldic	Lamprologini
JulmaN	Lamprologini
Julorn	Lamprologini
JulreK	Lamprologini
Jultra	Lamprologini
Lamcal	Lamprologini
Lamkun	Lamprologini
Lamlap	Lamprologini
Lamlem	Lamprologini
Lammel	Lamprologini
Lamoce	Lamprologini
Lamorn	Lamprologini
Lamsig	Lamprologini
Lamspe	Lamprologini
Lchabe	Limnochromini
Lchaur	Limnochromini
Lchsta	Limnochromini
Lepatt	Lamprologini
Lepcun	Lamprologini
Lepelo	Lamprologini
Lepkam	Lamprologini
Lepken	Lamprologini
LepmeK	Lamprologini
Lepmim	Lamprologini
Leppro	Lamprologini
Lesper	Ectodini
Lessta	Ectodini
Limdar	Tropheini
Loblab	Tropheini
Mdcten	Ectodini
Neobif	Lamprologini
Neobou	Lamprologini
Neobre	Lamprologini
Neobri	Lamprologini
Neobue	Lamprologini
NeocaK	Lamprologini
Neocal	Lamprologini
Neocau	Lamprologini
Neochi	Lamprologini
Neochr	Lamprologini
Neocyl	Lamprologini
Neofal	Lamprologini
Neofas	Lamprologini
Neofur	Lamprologini
Neogra	Lamprologini
Neohel	Lamprologini
NeoleL	Lamprologini
Neoleu	Lamprologini
Neolon	Lamprologini
Neolou	Lamprologini
Neomar	Lamprologini
Neomee	Lamprologini
Neomod	Lamprologini
Neomon	Lamprologini
Neomul	Lamprologini
Neomux	Lamprologini
Neonve	Lamprologini
Neoobs	Lamprologini
Neooli	Lamprologini
Neopec	Lamprologini
Neople	Lamprologini
Neopro	Lamprologini
Neopul	Lamprologini
Neosav	Lamprologini
Neosex	Lamprologini
Neosim	Lamprologini
Neospl	Lamprologini
Neotet	Lamprologini
Neotoa	Lamprologini
Neotre	Lamprologini
Neovar	Lamprologini
NeoveB	Lamprologini
Neowal	Lamprologini
Ophboo	Ectodini
Ophhet	Ectodini
Ophnas	Ectodini
Ophven	Ectodini
PcybrN	Cyprichromini
Pcynig	Cyprichromini
Perecc	Perissodini
Permic	Perissodini
Petfam	Tropheini
Petfas	Tropheini
Petort	Tropheini
Petpol	Tropheini
Pettre	Tropheini
Pleela	Perissodini
Plemul	Perissodini
Plepar	Perissodini
Plestr	Perissodini
Pscbab	Tropheini
Psccur	Tropheini
Pscmar	Tropheini
Psephi	Haplochromini
Regcal	Limnochromini
Simdia	Tropheini
Spaery	Eretmodini
Spamar	Eretmodini
Tanirs	Eretmodini
Telbif	Lamprologini
Telbra	Lamprologini
Telbri	Lamprologini
Telshe	Lamprologini
TelteS	Lamprologini
Telvit	Lamprologini
Trezeb	Trematocarini
Trioto	Limnochromini
Troann	Tropheini
Trobri	Tropheini
Trodub	Tropheini
Trolun	Tropheini
Tromoo	Tropheini
Trompi	Tropheini
Tronig	Tropheini
Tropol	Tropheini
Trored	Tropheini
Varmoo	Lamprologini
Xchhec	Perissodini
Xenbat	Ectodini
Xenbou	Ectodini
Xenfla	Ectodini
Xenkil	Ectodini
Xenlon	Ectodini
Xennas	Ectodini
XenniS	Ectodini
Xenoch	Ectodini
Xenorn	Ectodini
XenpaK	Ectodini
Xenpap	Ectodini
Xensim	Ectodini
Xensin	Ectodini
Xenspi	Ectodini
XenspN	Ectodini
Xensun	Ectodini
