gene	pathway	other_pathway	source	coverage_corrected?	max_0-cov	%_0-cov	nucl_div	sites_common_FEL-M7	sites_FEL	sites_M7M8	dNdS_FEL	pos_site_density
ACTB	OXTP		KEGG				0.003647068	0	0	0	0	0
ACTB_h1	OXTP		homol				0.007887852	3	3	4	0.110653003	13.82488479
ACTB_h2	OXTP		homol				0.009984844	3	3	4	0.058281823	8
ACTG1	OXTP		KEGG				0.002730496	0	0	0	0	0
ADCY1	OXTP		KEGG				0.006577315	2	3	2	0.145166791	2.661934339
ADCY1_h1	OXTP		homol				0.004501442	0	0	1	0.06023424	0
ADCY2A	OXTP		KEGG				0.00441246	2	3	3	0.09277952	3.514938489
ADCY2B	OXTP		KEGG				0.004861669	0	1	0	0.060053218	0.896860987
ADCY3	OXTP		KEGG				0.007423412	5	7	8	0.149839856	6.381039198
ADCY3_h1	OXTP		homol				0.017457854	3	4	6	0.040827011	3.565062389
ADCY5	OXTP	DOPP-SERP	KEGG				0.005548203	2	3	2	0.071357261	2.508361204
ADCY6	OXTP		KEGG				0.004984898	0	1	0	0.042901937	0.830564784
ADCY7	OXTP		KEGG				0.008983453	8	17	12	0.363124734	15.59633028
ADCY8	OXTP		KEGG				0.004560671	0	0	0	0.013937943	0
ADCY9A	OXTP		KEGG				0.006052158	12	11	no_cml	0.211971367	7.518796992
ADCY9B	OXTP		KEGG				0.006939859	5	9	6	0.167512857	6.206896552
ARRB	OXTP	DOPP	KEGG				0.00980141	1	2	4	0.128697868	4.651162791
ARRB_h1	OXTP	DOPP	homol				0.008873805	0	0	1	0.008023084	0
CACNA1C	OXTP	DOPP-SERP	KEGG				0.005499075	1	2	5	0.0693	0.864304235
CACNA1D	OXTP	DOPP-SERP	KEGG				0.006121099	8	7	14	0.118382123	3.067484663
CACNA1D_h1	OXTP	DOPP-SERP	homol				2.61581E-05	0	0	0	0	0
CACNA1F	OXTP	SERP	KEGG				0.00828591	2	2	14	0.0732	0.963391137
CACNA1S	OXTP	SERP	KEGG				0.010153971	8	9	6	0.094985749	4.859611231
CACNA2D1	OXTP		KEGG				0.006380245	4	4	7	0.125833396	3.659652333
CACNA2D2_h1	OXTP		homol				0.00692374	0	0	1	0.106968182	0
CACNA2D2	OXTP		KEGG				0.005552494	1	2	2	0.068727713	1.823154057
CACNA2D3	OXTP		KEGG				0.005644357	1	4	1	0.0774	3.442340792
CACNA2D4	OXTP		KEGG				0.00638957	2	5	5	0.208020945	4.528985507
CACNB1	OXTP		KEGG				0.004136435	0	0	0	0.046473538	0
CACNB2	OXTP		KEGG				0.004925869	1	2	3	0.158807445	2.89017341
CACNB3	OXTP		KEGG				0.005334503	0	1	3	0.11500508	1.901140684
CACNB4_h1	OXTP		homol				0.005357393	0	0	0	0.01168967	0
CACNB4	OXTP		KEGG				0.005102564	0	1	0	0.055956237	1.930501931
CACNG1	OXTP		KEGG				0.006843445	1	1	2	0.247162351	4.347826087
CACNG2	OXTP		KEGG				0.004540878	0	0	2	0.060664602	0
CACNG2_h1	OXTP		homol				0.002709423	0	0	0	0	0
CACNG3	OXTP		KEGG				0.002401081	0	0	0	0.021199374	0
CACNG4	OXTP		KEGG				0.006668473	0	2	0	0.118400605	5.988023952
CACNG4_h1	OXTP		homol				0.005114082	0	0	0	0.034691243	0
CACNG5	OXTP		KEGG				0.004822497	0	0	0	0.030670876	0
CACNG5_h1	OXTP		homol				0.006628237	0	0	0	0.090690901	0
CACNG6	OXTP		KEGG				0.006395102	1	1	2	0.242370148	3.802281369
CACNG6A	OXTP		KEGG				0.011439824	2	4	3	0.206444311	13.93728223
Cald1	OXTP		Jurek and Newmann (2018)				0.015867136	13	16	47	0.500871058	22.69503546
CALM	OXTP	DOPP	KEGG				0.00526716	0	0	0	0	0
CALM2	OXTP	DOPP	homol				0.001714128	0	0	0	0	0
CALM3	OXTP	DOPP	homol				0.003744866	0	0	0	0	0
CALML4	OXTP	DOPP	homol				0.007357906	0	2	1	0.265342284	13.07189542
CAMK1	OXTP		KEGG				0.004418872	0	0	0	0.048351632	0
CAMK1D	OXTP		KEGG				0.005313242	3	3	3	0.131926166	6.833712984
CAMK1G	OXTP		KEGG				0.011016389	8	7	7	0.280173928	14.37371663
CAMK4	OXTP		KEGG				0.012181289	1	2	3	0.11497643	4.12371134
CAMKK2	OXTP		KEGG				0.005181593	0	0	0	0.131222531	0
CCND1	OXTP		KEGG				0.008461933	0	1	0	0.040339781	3.424657534
CD38a1	OXTP	DISCARDED	KEGG				NA	0	NA	NA	NA	NA
CD38a2	OXTP		homol				0.010353046	0	8	1	0.391376832	45.71428571
CD38a3	OXTP		homol				0.014664996	4	4	6	0.464259886	71.42857143
CD38a4	OXTP		homol				0.016949166	12	13	18	0.605019121	49.80842912
CD38a5	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
CD38a6	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
CD38b1	OXTP	DISCARDED	homol				NA	0	NA	NA	NA	NA
CD38b2	OXTP		homol				0.005404374	0	0	0	0.154325225	0
CDKN1A	OXTP		KEGG				0.017673562	4	4	13	0.561875245	24.24242424
CHUKA1	OXTP		Jurek and Newmann (2018)				0.004353354	1	2	2	0.071291113	2.624671916
CHUKA2	OXTP		Jurek and Newmann (2018)				0.004629641	0	2	0	0.147109246	2.721088435
CHUKB	OXTP		Jurek and Newmann (2018)				0.004567058	0	0	0	0.058551465	0
CREB	OXTP		Jurek and Newmann (2018)				0.009625601	3	3	5	0.461065019	11.58301158
CREB1	OXTP	DOPP	KEGG				0.008764203	0	1	0	0.106532382	3.03030303
CREB1_h1	OXTP	DOPP	homol				0.004948323	1	1	1	0.067418888	3.144654088
CREB1_h2	OXTP	DOPP	homol				0.005220278	0	0	0	0.055732409	0
CREB3	OXTP	DOPP	KEGG				0.010378041	2	5	4	0.293703794	8.097165992
CREB3_h1	OXTP	DOPP	homol				0.012006357	3	3	7	0.357176086	4.683840749
CREB3_h2	OXTP	DOPP	homol				0.014337644	5	9	9	0.296715331	16.47058824
CREB5	OXTP	DOPP	KEGG				0.003364677	0	0	2	0.057036508	0
CREB5_h1	OXTP	DOPP	homol				0.006667189	1	4	2	0.244530704	5.454545455
CRTC2	OXTP		Jurek and Newmann (2018)				0.010847638	2	2	16	0.09743081	2.496878901
CRTC3	OXTP		Jurek and Newmann (2018)				0.008156322	1	1	2	0.092379694	1.642036125
EEF2	OXTP		KEGG				0.00531599	1	1	4	0.069930959	1.165501166
EEF2_h1	OXTP		homol				0.007258843	3	4	3	0.053308355	4.662004662
