gene	w_full_codon	FEL_on_screen	num_pos_sites	only_FEL	total_sites	pos_site_density (sites/100nucl)
CD38a4	0.605019121		13		261	4.980842912
NPPA	0.590849532		2		168	1.19047619
CDKN1A	0.561875245		4		165	2.424242424
TRPM2	0.55192516		31	True	1483	2.090357384
Cald1	0.500871058	True	16		705	2.269503546
RGS2	0.499048019		2		197	1.015228426
CD38a3	0.464259886		4		56	7.142857143
CREB	0.461065019		3		259	1.158301158
OT	0.425663942		2		156	1.282051282
CD38a2	0.391376832		8		175	4.571428571
GUCY1B2	0.38643408		11		783	1.404853129
FOS	0.380901795		2		392	0.510204082
PPP1R12C	0.371379623		17		701	2.42510699
ADCY7	0.363124734		17		1090	1.559633028
PLCB3	0.358756967		25		1257	1.988862371
PIK3R5	0.352554202		12		850	1.411764706
KCNJ14	0.349441677		5		535	0.934579439
MYLK4B	0.335922518		10		731	1.367989056
OTRB	0.322465939		0		392	0
MYLK4A	0.301489885	True	5		826	0.605326877
